date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:10:38	0/-1	---M--	302	error ('')			https://dreamgf-ai.com/go/dreamgf	C:/Users/stoec/Desktop/affi%20project/mon%20site/dreamgf-ai.com/go/dreamgf.14.delayed	(from https://dreamgf-ai.com/)
09:10:38	75825/75825	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Apr%202026%2012:10:39%20GMT	https://dreamgf-ai.com/hu/	C:/Users/stoec/Desktop/affi%20project/mon%20site/dreamgf-ai.com/hu/index.html	(from https://dreamgf-ai.com/)
09:10:38	0/-1	---M--	302	error ('')			https://dreamgf-ai.com/go/dreamgf	C:/Users/stoec/Desktop/affi%20project/mon%20site/dreamgf-ai.com/go/dreamgf.15.delayed	(from https://dreamgf-ai.com/)
09:10:38	0/-1	---M--	302	error ('')			https://dreamgf-ai.com/go/dreamgf	C:/Users/stoec/Desktop/affi%20project/mon%20site/dreamgf-ai.com/go/dreamgf.16.delayed	(from https://dreamgf-ai.com/)
09:10:38	0/-1	---M--	302	error ('')			https://dreamgf-ai.com/go/dreamgf	C:/Users/stoec/Desktop/affi%20project/mon%20site/dreamgf-ai.com/go/dreamgf.17.delayed	(from https://dreamgf-ai.com/)
09:10:38	0/-1	---M--	302	error ('')			https://dreamgf-ai.com/go/dreamgf	C:/Users/stoec/Desktop/affi%20project/mon%20site/dreamgf-ai.com/go/dreamgf.18.delayed	(from https://dreamgf-ai.com/)
09:10:38	114613/114613	---M--	200	added ('OK')	image/jpeg	etag:%2239daeb2c6c41ef23e3e363a7c43d0e8f%22	https://dreamgf-ai.com/images/unlock-special.jpg	C:/Users/stoec/Desktop/affi%20project/mon%20site/dreamgf-ai.com/images/unlock-special.jpg	(from https://dreamgf-ai.com/)
09:10:38	0/-1	---M--	302	error ('')			https://dreamgf-ai.com/go/dreamgf	C:/Users/stoec/Desktop/affi%20project/mon%20site/dreamgf-ai.com/go/dreamgf.1a.delayed	(from https://dreamgf-ai.com/)
09:10:38	0/-1	---M--	302	error ('')			https://dreamgf-ai.com/go/dreamgf	C:/Users/stoec/Desktop/affi%20project/mon%20site/dreamgf-ai.com/go/dreamgf.1b.delayed	(from https://dreamgf-ai.com/)
09:10:38	0/0	---M--	302	error ('Found')	text/html	date:Thu,%2030%20Apr%202026%2012:10:39%20GMT	https://dreamgf-ai.com/go/secrets	C:/Users/stoec/Desktop/affi%20project/mon%20site/dreamgf-ai.com/go/secrets	(from https://dreamgf-ai.com/)
